中	O
国	O
成	O
人	O
2	B-Disease
型	I-Disease
糖	I-Disease
尿	I-Disease
病	I-Disease
H	B-Test
B	I-Test
A	I-Test
1	I-Test
C	I-Test
S	O
S	O
c	O
控	O
制	O
目	O
标	O
的	O
专	O
家	O
共	O
识	O
L	O
目	O
前	O
,	O
2	B-Disease
型	I-Disease
糖	I-Disease
尿	I-Disease
病	I-Disease
及	O
其	O
并	O
发	O
症	O
已	O
经	O
成	O
为	O
危	O
害	O
公	O
众	O
L	O
健	O
康	O
的	O
主	O
要	O
疾	O
病	O
之	O
一	O
,	O
控	O
制	O
血	B-Test
糖	I-Test
是	O
延	O
缓	O
糖	B-Disease
尿	I-Disease
病	I-Disease
进	O
展	O
及	O
L	O
其	O
并	O
发	O
症	O
发	O
生	O
的	O
重	O
要	O
措	O
施	O
之	O
一	O
。	O

虽	O
然	O
H	B-Test
B	I-Test
A	I-Test
1	I-Test
C	I-Test
S	O
S	O
。	O

是	O
评	O
价	O
血	B-Test
L	I-Test
糖	I-Test
控	O
制	O
水	O
平	O
的	O
公	O
认	O
指	O
标	O
,	O
但	O
应	O
该	O
控	O
制	O
的	O
理	O
想	O
水	O
平	O
即	O
目	O
L	O
标	O
值	O
究	O
竟	O
是	O
多	O
少	O
还	O
存	O
在	O
争	O
议	O
。	O

糖	B-Disease
尿	I-Disease
病	I-Disease
控	O
制	O
与	O
并	O
发	O
症	O
试	O
L	O
验	O
(	O
D	O
C	O
C	O
T	O
,	O
1	O
9	O
9	O
3	O
)	O
、	O
熊	O
本	O
(	O
K	O
u	O
m	O
a	O
m	O
o	O
t	O
o	O
,	O
1	O
9	O
9	O
5	O
)	O
、	O
英	O
国	O
前	O
瞻	O
性	O
L	O
糖	O
尿	O
病	O
研	O
究	O
(	O
U	O
K	O
P	O
D	O
S	O
,	O
1	O
9	O
9	O
8	O
)	O
等	O
高	O
质	O
量	O
临	O
床	O
研	O
究	O
已	O
经	O
证	O
L	O
实	O
,	O
对	O
新	O
诊	O
断	O
的	O
糖	B-Disease
尿	I-Disease
病	I-Disease
患	O
者	O
或	O
病	O
情	O
较	O
轻	O
的	O
患	O
者	O
进	O
行	O
严	O
L	O
格	O
的	O
血	B-Test
糖	I-Test
控	O
制	O
会	O
延	O
缓	O
糖	B-Disease
尿	I-Disease
病	I-Disease
微	I-Disease
血	I-Disease
管	I-Disease
病	I-Disease
变	I-Disease
的	O
发	O
生	O
、	O
发	O
展	O
,	O
L	O
其	O
后	O
续	O
研	O
究	O
D	O
C	O
C	O
T	O
-	O
E	O
D	O
I	O
C	O
(	O
2	O
0	O
0	O
5	O
)	O
、	O
U	O
K	O
P	O
D	O
S	O
一	O
8	O
0	O
(	O
2	O
0	O
0	O
8	O
)	O
还	O
L	O
证	O
实	O
早	O
期	O
有	O
效	O
控	O
制	O
血	B-Test
糖	I-Test
对	O
大	O
血	O
管	O
也	O
有	O
保	O
护	O
作	O
用	O
¨	O
引	O
。	O

L	O
这	O
些	O
研	O
究	O
终	O
点	O
的	O
H	B-Test
B	I-Test
A	I-Test
1	I-Test
C	I-Test
S	O
S	O
。	O

控	O
制	O
在	O
7	B-Test_Value
.	I-Test_Value
5	I-Test_Value
%	I-Test_Value
左	O
右	O
,	O
那	O
么	O
年	B-Symptom
龄	I-Symptom
较	I-Symptom
L	I-Symptom
大	I-Symptom
、	O
糖	B-Symptom
尿	I-Symptom
病	I-Symptom
病	I-Symptom
程	I-Symptom
较	I-Symptom
长	I-Symptom
、	O
部	O
分	O
已	O
有	O
心	B-Disease
血	I-Disease
管	I-Disease
疾	I-Disease
病	I-Disease
(	I-Disease
C	I-Disease
V	I-Disease
D	I-Disease
)	I-Disease
或	O
L	O
伴	O
C	B-Symptom
V	I-Symptom
D	I-Symptom
极	I-Symptom
高	I-Symptom
危	I-Symptom
因	I-Symptom
素	I-Symptom
的	O
糖	B-Disease
尿	I-Disease
病	I-Disease
人	O
群	O
进	O
一	O
步	O
降	O
低	O
血	B-Test
糖	I-Test
,	O
对	O
L	O
C	B-Disease
V	I-Disease
D	I-Disease
的	O
影	O
响	O
将	O
会	O
如	O
何	O
?	O
糖	O
尿	O
病	O
患	O
者	O
心	O
血	O
管	O
风	O
险	O
干	O
预	O
L	O
研	O
究	O
(	O
A	O
C	O
C	O
O	O
R	O
D	O
)	O
、	O
退	O
伍	O
军	O
人	O
糖	O
尿	O
病	O
研	O
究	O
(	O
V	O
A	O
D	O
T	O
)	O
和	O
糖	O
L	O
尿	O
病	O
与	O
心	B-Disease
血	I-Disease
管	I-Disease
疾	I-Disease
病	I-Disease
行	O
动	O
研	O
究	O
(	O
A	O
D	O
V	O
A	O
N	O
C	O
E	O
)	O
等	O
对	O
该	O
类	O
人	O
L	O
群	O
平	O
均	O
5	O
年	O
左	O
右	O
的	O
干	O
预	O
,	O
结	O
果	O
显	O
示	O
强	O
化	O
降	O
糖	O
治	O
疗	O
使	O
L	O
H	B-Test
B	I-Test
A	I-Test
1	I-Test
C	I-Test
S	O
S	O
。	O

<	B-Test_Value
6	I-Test_Value
.	I-Test_Value
5	I-Test_Value
%	I-Test_Value
,	O
患	O
者	O
死	B-Disease
亡	I-Disease
风	O
险	O
和	O
大	O
血	B-Disease
管	I-Disease
事	O
件	O
发	O
生	O
并	O
无	O
L	O
进	O
一	O
步	O
减	O
少	O
,	O
A	O
C	O
C	O
O	O
R	O
D	O
甚	O
至	O
表	O
明	O
控	O
制	O
H	B-Test
B	I-Test
A	I-Test
1	I-Test
C	I-Test
S	O
S	O
。	O

水	O
平	O
接	O
近	O
L	O
正	O
常	O
值	O
(	O
<	B-Test_Value
6	I-Test_Value
.	I-Test_Value
4	I-Test_Value
%	I-Test_Value
)	O
会	O
增	O
加	O
这	O
类	O
患	O
者	O
死	O
亡	O
率	O
旧	O
引	O
。	O

这	O
些	O
与	O
L	O
理	O
论	O
或	O
预	O
期	O
不	O
一	O
致	O
结	O
果	O
产	O
生	O
的	O
原	O
因	O
尚	O
不	O
确	O
定	O
,	O
可	O
能	O
与	O
L	O
入	O
组	O
人	O
群	O
差	O
异	O
、	O
低	B-Symptom
血	I-Symptom
糖	I-Symptom
、	O
体	B-Symptom
重	I-Symptom
增	I-Symptom
加	I-Symptom
、	O
随	O
访	O
时	O
间	O
长	O
短	O
及	O
评	O
L	O
估	O
方	O
法	O
等	O
诸	O
多	O
因	O
素	O
有	O
关	O
,	O
但	O
过	O
分	O
苛	O
求	O
血	B-Test
糖	I-Test
正	O
常	O
化	O
可	O
能	O
L	O
是	O
主	O
要	O
原	O
因	O
之	O
一	O
。	O

A	O
C	O
C	O
O	O
R	O
D	O
、	O
V	O
A	O
D	O
T	O
数	O
据	O
分	O
析	O
提	O
示	O
对	O
L	O
病	B-Symptom
程	I-Symptom
长	I-Symptom
、	O
有	O
低	B-Symptom
血	I-Symptom
糖	I-Symptom
史	I-Symptom
、	O
有	O
C	B-Symptom
V	I-Symptom
D	I-Symptom
或	O
合	O
并	O
C	B-Symptom
V	I-Symptom
D	I-Symptom
极	I-Symptom
高	I-Symptom
危	I-Symptom
因	I-Symptom
素	I-Symptom
L	O
的	O
患	O
者	O
,	O
盲	O
目	O
地	O
进	O
行	O
强	O
化	O
达	O
标	O
治	O
疗	O
,	O
会	O
明	O
显	O
增	O
加	O
低	B-Disease
血	I-Disease
糖	I-Disease
L	O
和	O
心	B-Disease
血	I-Disease
管	I-Disease
事	I-Disease
件	I-Disease
发	O
生	O
。	O

各	O
权	O
威	O
组	O
织	O
推	O
荐	O
的	O
血	B-Test
糖	I-Test
控	O
制	O
目	O
标	O
L	O
H	B-Test
B	I-Test
A	I-Test
1	I-Test
C	I-Test
S	O
S	O
。	O

的	O
水	O
平	O
也	O
不	O
尽	O
相	O
同	O
,	O
美	O
国	O
糖	O
尿	O
病	O
协	O
会	O
(	O
A	O
D	O
A	O
)	O
认	O
L	O
为	O
一	O
般	O
情	O
况	O
下	O
血	B-Test
糖	I-Test
控	O
制	O
目	O
标	O
值	O
H	B-Test
B	I-Test
A	I-Test
1	I-Test
C	I-Test
S	O
S	O
。	O

<	B-Test_Value
7	I-Test_Value
%	I-Test_Value
归	O
o	O
;	O
国	O
际	O
糖	O
L	O
尿	O
病	O
联	O
盟	O
(	O
I	O
D	O
F	O
)	O
、	O
美	O
国	O
内	O
分	O
泌	O
医	O
师	O
协	O
会	O
/	O
美	O
国	O
内	O
分	O
泌	O
协	O
L	O
会	O
(	O
A	O
A	O
C	O
E	O
/	O
A	O
C	O
E	O
)	O
、	O
英	O
国	O
健	O
康	O
与	O
临	O
床	O
优	O
化	O
研	O
究	O
所	O
L	O
(	O
N	O
I	O
C	O
E	O
)	O
、	O
全	O
球	O
有	O
效	O
管	O
理	O
糖	O
尿	O
病	O
合	O
作	O
组	O
织	O
(	O
G	O
P	O
E	O
D	O
M	O
)	O
和	O
L	O
加	O
拿	O
大	O
糖	O
尿	O
病	O
协	O
会	O
(	O
C	O
D	O
A	O
)	O
则	O
建	O
议	O
一	O
般	O
情	O
况	O
时	O
H	B-Test
B	I-Test
A	I-Test
1	I-Test
C	I-Test
S	O
S	O
c	O
<	B-Test_Value
L	I-Test_Value
6	I-Test_Value
.	I-Test_Value
5	I-Test_Value
%	I-Test_Value
[	O
1	O
0	O
-	O
1	O
4	O
]	O
;	O
中	O
华	O
医	O
学	O
会	O
糖	O
尿	O
病	O
分	O
会	O
推	O
荐	O
的	O
一	O
般	O
H	B-Test
B	I-Test
A	I-Test
1	I-Test
C	I-Test
S	O
S	O
。	O

L	O
目	O
标	O
值	O
为	O
<	B-Test_Value
6	I-Test_Value
.	I-Test_Value
5	I-Test_Value
%	I-Test_Value
¨	O
引	O
。	O

L	O
糖	B-Disease
尿	I-Disease
病	I-Disease
患	O
者	O
血	B-Test
糖	I-Test
控	O
制	O
目	O
标	O
应	O
该	O
遵	O
循	O
个	O
体	O
化	O
原	O
则	O
,	O
L	O
即	O
对	O
血	B-Test
糖	I-Test
控	O
制	O
的	O
风	O
险	O
(	O
r	O
i	O
s	O
k	O
)	O
与	O
获	O
益	O
(	O
b	O
e	O
n	O
e	O
f	O
i	O
t	O
)	O
、	O
成	O
本	O
L	O
(	O
c	O
o	O
s	O
t	O
)	O
与	O
效	O
益	O
(	O
e	O
f	O
f	O
e	O
c	O
t	O
i	O
v	O
e	O
n	O
e	O
s	O
s	O
)	O
和	O
可	O
行	O
性	O
(	O
f	O
e	O
a	O
s	O
i	O
b	O
i	O
l	O
i	O
t	O
y	O
)	O
方	O
面	O
L	O
进	O
行	O
科	O
学	O
评	O
估	O
,	O
寻	O
找	O
较	O
为	O
合	O
理	O
的	O
平	O
衡	O
,	O
这	O
一	O
点	O
已	O
是	O
专	O
家	O
L	O
共	O
识	O
。	O

在	O
我	O
国	O
,	O
多	O
数	O
糖	B-Disease
尿	I-Disease
病	I-Disease
患	O
者	O
居	O
住	O
在	O
县	O
以	O
下	O
及	O
农	O
村	O
L	O
地	O
区	O
,	O
经	O
济	O
、	O
受	O
教	O
育	O
程	O
度	O
、	O
医	O
疗	O
保	O
障	O
及	O
医	O
疗	O
水	O
平	O
等	O
诸	O
多	O
L	O
影	O
响	O
血	B-Test
糖	I-Test
控	O
制	O
的	O
因	O
素	O
差	O
别	O
极	O
大	O
,	O
地	O
域	O
差	O
别	O
较	O
强	O
,	O
因	O
此	O
临	O
L	O
床	O
医	O
生	O
在	O
设	O
定	O
糖	O
尿	O
病	O
血	B-Test
糖	I-Test
控	O
制	O
目	O
标	O
时	O
除	O
考	O
虑	O
病	O
理	O
生	O
理	O
L	O
因	O
素	O
即	O
病	O
情	O
外	O
,	O
还	O
必	O
须	O
考	O
虑	O
社	O
会	O
因	O
素	O
,	O
社	O
会	O
因	O
素	O
的	O
重	O
要	O
L	O
性	O
在	O
某	O
些	O
特	O
定	O
患	O
者	O
甚	O
至	O
超	O
过	O
病	O
情	O
。	O

比	O
如	O
自	O
我	O
血	B-Test
糖	I-Test
监	O
测	O
L	O
(	O
S	O
M	O
B	O
G	O
)	O
在	O
我	O
国	O
开	O
展	O
不	O
普	O
遍	O
,	O
因	O
此	O
防	O
范	O
严	B-Level
重	I-Level
低	B-Disease
血	I-Disease
糖	I-Disease
的	O
L	O
发	O
生	O
必	O
须	O
放	O
在	O
首	O
位	O
,	O
H	B-Test
B	I-Test
A	I-Test
1	I-Test
C	I-Test
S	O
S	O
。	O

目	O
标	O
的	O
制	O
定	O
应	O
统	O
筹	O
考	O
虑	O
安	O
L	O
全	O
性	O
、	O
可	O
行	O
性	O
和	O
科	O
学	O
性	O
。	O

我	O
们	O
不	O
主	O
张	O
笼	O
统	O
推	O
荐	O
成	O
人	O
2	B-Disease
L	I-Disease
型	I-Disease
糖	I-Disease
尿	I-Disease
病	I-Disease
的	O
H	B-Test
B	I-Test
A	I-Test
1	I-Test
C	I-Test
S	O
S	O
。	O

控	O
制	O
目	O
标	O
,	O
而	O
是	O
根	O
据	O
病	O
情	O
分	O
层	O
和	O
社	O
L	O
会	O
因	O
素	O
的	O
差	O
异	O
建	O
议	O
相	O
对	O
合	O
理	O
的	O
H	B-Test
B	I-Test
A	I-Test
1	I-Test
C	I-Test
S	O
S	O
。	O

值	O
,	O
力	O
争	O
做	O
到	O
安	O
L	O
全	O
达	O
标	O
。	O

从	O
病	O
情	O
因	O
素	O
考	O
虑	O
,	O
大	O
致	O
将	O
患	O
者	O
分	O
为	O
以	O
下	O
6	O
类	O
。	O

L	O
一	O
、	O
无	O
糖	B-Symptom
尿	I-Symptom
病	I-Symptom
并	I-Symptom
发	I-Symptom
症	I-Symptom
和	O
严	B-Level
重	I-Level
伴	O
发	O
疾	O
病	O
的	O
非	O
老	O
年	O
(	O
<	O
L	O
6	O
5	O
岁	O
)	O
患	O
者	O
L	O
1	O
.	O
一	O
般	O
将	O
H	B-Test
B	I-Test
A	I-Test
1	I-Test
C	I-Test
S	O
S	O
。	O

控	O
制	O
于	O
<	B-Test_Value
6	I-Test_Value
.	I-Test_Value
5	I-Test_Value
%	I-Test_Value
,	O
若	O
降	O
糖	O
治	O
疗	O
无	O
低	B-Symptom
L	I-Symptom
血	I-Symptom
糖	I-Symptom
或	O
体	B-Symptom
重	I-Symptom
增	I-Symptom
加	I-Symptom
等	O
不	O
良	O
反	O
应	O
者	O
可	O
使	O
H	B-Test
B	I-Test
A	I-Test
1	I-Test
C	I-Test
S	O
S	O
。	O

<	B-Test
6	I-Test
%	I-Test
[	O
1	O
0	O
-	O
1	O
5	O
]	O
。	O

L	O
目	O
前	O
,	O
新	O
诊	O
断	O
糖	B-Disease
尿	I-Disease
病	I-Disease
患	O
者	O
的	O
人	O
数	O
逐	O
年	O
增	O
加	O
,	O
越	O
来	O
越	O
年	O
轻	O
L	O
化	O
,	O
尤	O
其	O
是	O
3	O
0	O
—	O
3	O
9	O
岁	O
比	O
例	O
增	O
加	O
引	O
起	O
了	O
临	O
床	O
医	O
生	O
的	O
关	O
L	O
注	O
。	O

这	O
些	O
患	O
者	O
绝	O
大	O
多	O
数	O
除	O
糖	B-Disease
尿	I-Disease
病	I-Disease
外	O
并	O
无	O
并	O
发	O
症	O
